Candidate,State,Name,Past,Amount
rubio,AK,Alaska,R,10.5
rubio,AL,Alabama,R,10.47
rubio,AR,Arkansas,R,4.55
rubio,AZ,Arizona,R,46.13
rubio,CA,California,D,82.55
rubio,CO,Colorado,D,26.85
rubio,CT,Connecticut,D,54.03
rubio,DC,Washington DC,D,319.87
rubio,DE,Delaware,D,5.52
rubio,FL,Florida,D,197.42
rubio,GA,Georgia,R,30.08
rubio,HI,Hawaii,D,9.99
rubio,IA,Iowa,D,10.06
rubio,ID,Idaho,R,18.54
rubio,IL,Illinois,D,38.78
rubio,IN,Indiana,R,18.67
rubio,KS,Kansas,R,11.33
rubio,KY,Kentucky,R,8.24
rubio,LA,Louisiana,R,31.8
rubio,MA,Massachusetts,D,89.38
rubio,MD,Maryland,D,25.33
rubio,ME,Maine,D,4.88
rubio,MI,Michigan,D,10.87
rubio,MN,Minnesota,D,7.75
rubio,MO,Missouri,R,12.02
rubio,MS,Mississippi,R,6.86
rubio,MT,Montana,R,23.52
rubio,NC,North Carolina,R,14.24
rubio,ND,North Dakota,R,4.46
rubio,NE,Nebraska,R,10.03
rubio,NH,New Hampshire,D,28.83
rubio,NJ,New Jersey,D,28.46
rubio,NM,New Mexico,D,5.76
rubio,NV,Nevada,D,77.67
rubio,NY,New York,D,56.65
rubio,OH,Ohio,D,30.47
rubio,OK,Oklahoma,R,11.93
rubio,OR,Oregon,D,12.9
rubio,PA,Pennsylvania,D,20.67
rubio,RI,Rhode Island,D,6.24
rubio,SC,South Carolina,R,70.88
rubio,SD,South Dakota,R,9.63
rubio,TN,Tennessee,R,19.38
rubio,TX,Texas,R,65.52
rubio,UT,Utah,R,9.64
rubio,VA,Virginia,D,55.01
rubio,VT,Vermont,D,111.08
rubio,WA,Washington,D,31.21
rubio,WI,Wisconsin,D,7.66
rubio,WV,West Virginia,R,1.52
rubio,WY,Wyoming,R,40.24
clinton,AK,Alaska,R,42.12
clinton,AL,Alabama,R,26.26
clinton,AR,Arkansas,R,180.86
clinton,AZ,Arizona,R,41.66
clinton,CA,California,D,364.67
clinton,CO,Colorado,D,259.93
clinton,CT,Connecticut,D,320.75
clinton,DC,Washington DC,D,5307.21
clinton,DE,Delaware,D,51.81
clinton,FL,Florida,D,219.94
clinton,GA,Georgia,R,89.54
clinton,HI,Hawaii,D,39.26
clinton,IA,Iowa,D,36.95
clinton,ID,Idaho,R,29.59
clinton,IL,Illinois,D,205.93
clinton,IN,Indiana,R,62.6
clinton,KS,Kansas,R,68.07
clinton,KY,Kentucky,R,21.25
clinton,LA,Louisiana,R,84.99
